       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -200           -150           -100     -0.0015787     0.00196057    -0.00154018              0              0              0
         -196           -150           -100    -0.00161992     0.00197172    -0.00155256              0              0              0
         -192           -150           -100    -0.00166115     0.00198287    -0.00156493              0              0              0
         -188           -150           -100    -0.00170238     0.00199403    -0.00157731              0              0              0
         -184           -150           -100    -0.00174361     0.00200518    -0.00158968              0              0              0
         -180           -150           -100    -0.00178339     0.00202603      -0.001615              0              0              0
         -176           -150           -100    -0.00182291     0.00204867    -0.00164272              0              0              0
         -172           -150           -100    -0.00186242     0.00207131    -0.00167045              0              0              0
         -168           -150           -100    -0.00190194     0.00209396    -0.00169817              0              0              0
         -164           -150           -100    -0.00194145      0.0021166    -0.00172589              0              0              0
         -160           -150           -100    -0.00198003     0.00213933    -0.00175471              0              0              0
         -156           -150           -100    -0.00201451     0.00216242    -0.00178833              0              0              0
         -152           -150           -100      -0.002049      0.0021855    -0.00182194              0              0              0
         -148           -150           -100    -0.00208348     0.00220859    -0.00185555              0              0              0
         -144           -150           -100    -0.00211796     0.00223167    -0.00188917              0              0              0
         -140           -150           -100    -0.00215245     0.00225476    -0.00192278              0              0              0
         -136           -150           -100     -0.0021823     0.00227779    -0.00195935              0              0              0
         -132           -150           -100    -0.00220803     0.00230078    -0.00199855              0              0              0
         -128           -150           -100    -0.00223377     0.00232377    -0.00203774              0              0              0
         -124           -150           -100     -0.0022595     0.00234676    -0.00207693              0              0              0
         -120           -150           -100    -0.00228523     0.00236974    -0.00211612              0              0              0
         -116           -150           -100    -0.00231097     0.00239273    -0.00215532              0              0              0
         -112           -150           -100    -0.00232556     0.00241507    -0.00219867              0              0              0
         -108           -150           -100    -0.00233852     0.00243731    -0.00224262              0              0              0
         -104           -150           -100    -0.00235149     0.00245955    -0.00228657              0              0              0
         -100           -150           -100    -0.00236446      0.0024818    -0.00233052              0              0              0
          -96           -150           -100    -0.00237743     0.00250404    -0.00237448              0              0              0
          -92           -150           -100    -0.00238677     0.00252598    -0.00241913              0              0              0
          -88           -150           -100      -0.002383      0.0025468    -0.00246632              0              0              0
          -84           -150           -100    -0.00237923     0.00256762    -0.00251352              0              0              0
          -80           -150           -100    -0.00237545     0.00258844    -0.00256071              0              0              0
          -76           -150           -100    -0.00237168     0.00260926    -0.00260791              0              0              0
          -72           -150           -100     -0.0023679     0.00263009     -0.0026551              0              0              0
          -68           -150           -100    -0.00235313      0.0026498    -0.00270282              0              0              0
          -64           -150           -100     -0.0023297     0.00266864    -0.00275095              0              0              0
          -60           -150           -100    -0.00230627     0.00268749    -0.00279908              0              0              0
          -56           -150           -100    -0.00228283     0.00270633    -0.00284721              0              0              0
          -52           -150           -100     -0.0022594     0.00272517    -0.00289534              0              0              0
          -48           -150           -100    -0.00223357     0.00274375    -0.00294331              0              0              0
          -44           -150           -100    -0.00219277     0.00276066    -0.00299024              0              0              0
          -40           -150           -100    -0.00215198     0.00277758    -0.00303717              0              0              0
          -36           -150           -100    -0.00211118     0.00279449     -0.0030841              0              0              0
          -32           -150           -100    -0.00206221     0.00281039    -0.00312943              0              0              0
          -28           -150           -100    -0.00200762     0.00282559    -0.00317365              0              0              0
          -24           -150           -100    -0.00195302      0.0028408    -0.00321788              0              0              0
          -20           -150           -100    -0.00189782     0.00285592    -0.00326191              0              0              0
          -16           -150           -100       -0.00183     0.00286929    -0.00330198              0              0              0
          -12           -150           -100    -0.00176218     0.00288267    -0.00334205              0              0              0
           -8           -150           -100    -0.00169436     0.00289605    -0.00338212              0              0              0
           -4           -150           -100    -0.00162248     0.00290879    -0.00342046              0              0              0
            0           -150           -100    -0.00154543      0.0029207    -0.00345649              0              0              0
            4           -150           -100    -0.00146506     0.00293205    -0.00349076              0              0              0
            8           -150           -100    -0.00138208     0.00294292    -0.00352345              0              0              0
           12           -150           -100    -0.00129579     0.00295315    -0.00355397              0              0              0
