%  ASCII export :
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     1.0770000e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28    -7.8292179e-04   0            16777216
     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     1.0770000e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     0.0000000e+00   0            16777216
     2.6965174e-06    -9.9999062e-04     5.1607093e-04     1.1257056e-02     3.9173534e-05     1.0769411e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.3491057e-03   0            16777216
     8.9987643e-06    -9.9996896e-04     8.6009200e-04     2.2552932e-02     7.7322227e-05     1.0767639e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.9152899e-03   0            16777216
     1.8918872e-05    -9.9993532e-04     1.2040278e-03     3.3886503e-02     1.1442066e-04     1.0764668e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.4814736e-03   0            16777216
     3.2468612e-05    -9.9989015e-04     1.5478397e-03     4.5256615e-02     1.5044323e-04     1.0760487e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.0476574e-03   0            16777216
     4.9659368e-05    -9.9983369e-04     1.8914889e-03     5.6662086e-02     1.8536417e-04     1.0755085e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.6138416e-03   0            16777216
     7.0502152e-05    -9.9976629e-04     2.2349358e-03     6.8101704e-02     2.1915758e-04     1.0748447e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0180025e-02   0            16777216
     9.5007570e-05    -9.9968852e-04     2.5781409e-03     7.9574227e-02     2.5179732e-04     1.0740563e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1746209e-02   0            16777216
     1.2318585e-04    -9.9960051e-04     2.9210637e-03     9.1078393e-02     2.8325722e-04     1.0731419e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.3312394e-02   0            16777216
     1.5504677e-04    -9.9950272e-04     3.2636642e-03     1.0261291e-01     3.1351089e-04     1.0721005e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.4878578e-02   0            16777216
     1.9059972e-04    -9.9939562e-04     3.6059013e-03     1.1417643e-01     3.4253180e-04     1.0709307e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.6444761e-02   0            16777216
     2.2985364e-04    -9.9927944e-04     3.9477334e-03     1.2576762e-01     3.7029339e-04     1.0696315e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.8010946e-02   0            16777216
     2.7281704e-04    -9.9915476e-04     4.2891195e-03     1.3738507e-01     3.9676885e-04     1.0682014e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.9577129e-02   0            16777216
     3.1949795e-04    -9.9902204e-04     4.6300171e-03     1.4902739e-01     4.2193139e-04     1.0666394e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.1143313e-02   0            16777216
     3.6990401e-04    -9.9888141e-04     4.9703834e-03     1.6069311e-01     4.4575401e-04     1.0649444e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.2709496e-02   0            16777216
     4.2404252e-04    -9.9873368e-04     5.3101759e-03     1.7238209e-01     4.6822274e-04     1.0631149e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.4275681e-02   0            16777216
     4.8192177e-04    -9.9857897e-04     5.6493520e-03     1.8409762e-01     4.8935739e-04     1.0611489e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.5841866e-02   0            16777216
     5.4355006e-04    -9.9841785e-04     5.9878663e-03     1.9583842e-01     5.0913222e-04     1.0590448e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.7408049e-02   0            16777216
     6.0893490e-04    -9.9825079e-04     6.3256752e-03     2.0760286e-01     5.2751863e-04     1.0568017e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.8974233e-02   0            16777216
     6.7808363e-04    -9.9807815e-04     6.6627343e-03     2.1938927e-01     5.4448785e-04     1.0544178e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.0540416e-02   0            16777216
     7.5100275e-04    -9.9790038e-04     6.9989972e-03     2.3119599e-01     5.6001096e-04     1.0518922e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.2106601e-02   0            16777216
     8.2769833e-04    -9.9771819e-04     7.3344191e-03     2.4302125e-01     5.7405914e-04     1.0492232e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.3672784e-02   0            16777216
     9.0817595e-04    -9.9753169e-04     7.6689539e-03     2.5486329e-01     5.8660336e-04     1.0464097e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.5238970e-02   0            16777216
     9.9244050e-04    -9.9734159e-04     8.0025550e-03     2.6672032e-01     5.9761445e-04     1.0434505e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.6805153e-02   0            16777216
     1.0804962e-03    -9.9714834e-04     8.3351750e-03     2.7859050e-01     6.0706330e-04     1.0403441e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.8371336e-02   0            16777216
     1.1723471e-03    -9.9695253e-04     8.6667677e-03     2.9047194e-01     6.1492075e-04     1.0370895e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.9937522e-02   0            16777216
     1.2679960e-03    -9.9675450e-04     8.9972848e-03     3.0236271e-01     6.2115758e-04     1.0336853e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.1503705e-02   0            16777216
     1.3674457e-03    -9.9655497e-04     9.3266768e-03     3.1426084e-01     6.2574452e-04     1.0301304e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.3069888e-02   0            16777216
     1.4706978e-03    -9.9635439e-04     9.6548982e-03     3.2616436e-01     6.2865240e-04     1.0264236e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.4636071e-02   0            16777216
     1.5777538e-03    -9.9615322e-04     9.9818977e-03     3.3807123e-01     6.2985189e-04     1.0225637e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.6202257e-02   0            16777216
     1.6886143e-03    -9.9595205e-04     1.0307628e-02     3.4997937e-01     6.2930543e-04     1.0185494e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.7768440e-02   0            16777216
     1.8032788e-03    -9.9575147e-04     1.0632039e-02     3.6188668e-01     6.2695448e-04     1.0143800e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.9334623e-02   0            16777216
     1.9217469e-03    -9.9555217e-04     1.0955079e-02     3.7379098e-01     6.2276627e-04     1.0100539e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.0900809e-02   0            16777216
     2.0440170e-03    -9.9535461e-04     1.1276701e-02     3.8569009e-01     6.1670924e-04     1.0055704e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.2466992e-02   0            16777216
     2.1700868e-03    -9.9515938e-04     1.1596851e-02     3.9758155e-01     6.0875376e-04     1.0009284e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.4033175e-02   0            16777216
     2.2999530e-03    -9.9496730e-04     1.1915480e-02     4.0946290e-01     5.9886987e-04     9.9612689e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.5599362e-02   0            16777216
     2.4336125e-03    -9.9477882e-04     1.2232536e-02     4.2133185e-01     5.8702671e-04     9.9116504e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.7165544e-02   0            16777216
     2.5710603e-03    -9.9459453e-04     1.2547971e-02     4.3318605e-01     5.7319354e-04     9.8604184e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.8731727e-02   0            16777216
     2.7122914e-03    -9.9441514e-04     1.2861728e-02     4.4502306e-01     5.5733987e-04     9.8075640e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     6.0297914e-02   0            16777216
     2.8572993e-03    -9.9424133e-04     1.3173757e-02     4.5684049e-01     5.3943531e-04     9.7530788e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     6.1864097e-02   0            16777216
     3.0060774e-03    -9.9407369e-04     1.3484008e-02     4.6863586e-01     5.1944982e-04     9.6969539e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     6.3430279e-02   0            16777216
     3.1586182e-03    -9.9391304e-04     1.3792424e-02     4.8040667e-01     4.9735338e-04     9.6391815e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     6.4996466e-02   0            16777216
     3.3149130e-03    -9.9375995e-04     1.4098957e-02     4.9215037e-01     4.7311641e-04     9.5797539e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     6.6562645e-02   0            16777216
     3.4749527e-03    -9.9361502e-04     1.4403551e-02     5.0386435e-01     4.4670954e-04     9.5186633e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     6.8128832e-02   0            16777216
     3.6387269e-03    -9.9347916e-04     1.4706152e-02     5.1554602e-01     4.1810365e-04     9.4559038e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     6.9695018e-02   0            16777216
     3.8062250e-03    -9.9335285e-04     1.5006709e-02     5.2719271e-01     3.8726997e-04     9.3914682e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.1261197e-02   0            16777216
     3.9774352e-03    -9.9323702e-04     1.5305167e-02     5.3880340e-01     3.5419635e-04     9.3253404e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.2827384e-02   0            16777216
     4.1523469e-03    -9.9313236e-04     1.5601471e-02     5.5037969e-01     3.1889690e-04     9.2574894e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.4393570e-02   0            16777216
     4.3309475e-03    -9.9303934e-04     1.5895564e-02     5.6191868e-01     2.8134120e-04     9.1879070e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.5959750e-02   0            16777216
     4.5132260e-03    -9.9295902e-04     1.6187394e-02     5.7341743e-01     2.4149934e-04     9.1165859e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.7525936e-02   0            16777216
     4.6991664e-03    -9.9289184e-04     1.6476905e-02     5.8487284e-01     1.9934167e-04     9.0435207e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.9092123e-02   0            16777216
     4.8887567e-03    -9.9283888e-04     1.6764037e-02     5.9628201e-01     1.5483901e-04     8.9687055e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.0658302e-02   0            16777216
     5.0819800e-03    -9.9280057e-04     1.7048739e-02     6.0764170e-01     1.0796260e-04     8.8921344e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.2224488e-02   0            16777216
     5.2788197e-03    -9.9277776e-04     1.7330950e-02     6.1894894e-01     5.8676698e-05     8.8138032e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.3790675e-02   0            16777216
     5.4792585e-03    -9.9277147e-04     1.7610619e-02     6.3020045e-01     6.9497069e-06     8.7337071e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.5356854e-02   0            16777216
     5.6832777e-03    -9.9278206e-04     1.7887685e-02     6.4139313e-01    -4.7245863e-05     8.6518431e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.6923040e-02   0            16777216
     5.8908584e-03    -9.9281082e-04     1.8162094e-02     6.5252364e-01    -1.0393695e-04     8.5682076e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.8489220e-02   0            16777216
     6.1019794e-03    -9.9285808e-04     1.8433789e-02     6.6358888e-01    -1.6314993e-04     8.4827989e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     9.0055406e-02   0            16777216
     6.3166190e-03    -9.9292502e-04     1.8702712e-02     6.7458540e-01    -2.2491055e-04     8.3956152e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     9.1621593e-02   0            16777216
     6.5347552e-03    -9.9301222e-04     1.8968806e-02     6.8550992e-01    -2.8924394e-04     8.3066541e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     9.3187772e-02   0            16777216
     6.7563630e-03    -9.9312060e-04     1.9232016e-02     6.9635910e-01    -3.5617457e-04     8.2159168e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     9.4753958e-02   0            16777216
     6.9814180e-03    -9.9325099e-04     1.9492285e-02     7.0712924e-01    -4.2572076e-04     8.1234050e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     9.6320145e-02   0            16777216
     7.2098942e-03    -9.9340430e-04     1.9749556e-02     7.1781677e-01    -4.9790327e-04     8.0291212e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     9.7886324e-02   0            16777216
     7.4417642e-03    -9.9358114e-04     2.0003773e-02     7.2841829e-01    -5.7274394e-04     7.9330665e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     9.9452510e-02   0            16777216
     7.6770000e-03    -9.9378265e-04     2.0254878e-02     7.3893034e-01    -6.5028522e-04     7.8352445e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0101870e-01   0            16777216
     7.9155723e-03    -9.9400966e-04     2.0502817e-02     7.4934936e-01    -7.3060743e-04     7.7356577e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0258488e-01   0            16777216
     8.1574488e-03    -9.9426287e-04     2.0747531e-02     7.5967187e-01    -8.1373181e-04     7.6343107e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0415106e-01   0            16777216
     8.4026009e-03    -9.9454343e-04     2.0988965e-02     7.6989430e-01    -8.9967862e-04     7.5312084e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0571725e-01   0            16777216
     8.6509939e-03    -9.9485205e-04     2.1227064e-02     7.8001314e-01    -9.8847307e-04     7.4263555e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0728343e-01   0            16777216
     8.9025935e-03    -9.9518977e-04     2.1461768e-02     7.9002476e-01    -1.0801359e-03     7.3197591e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0884961e-01   0            16777216
     9.1573652e-03    -9.9555752e-04     2.1693029e-02     7.9992563e-01    -1.1746845e-03     7.2114259e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1041580e-01   0            16777216
     9.4152726e-03    -9.9595601e-04     2.1920785e-02     8.0971211e-01    -1.2721351e-03     7.1013641e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1198198e-01   0            16777216
     9.6762786e-03    -9.9638640e-04     2.2144984e-02     8.1938052e-01    -1.3725027e-03     6.9895828e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1354817e-01   0            16777216
     9.9403439e-03    -9.9684962e-04     2.2365574e-02     8.2892734e-01    -1.4758012e-03     6.8760908e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1511435e-01   0            16777216
     1.0207430e-02    -9.9734648e-04     2.2582492e-02     8.3834857e-01    -1.5820360e-03     6.7609036e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1668053e-01   0            16777216
     1.0477494e-02    -9.9787803e-04     2.2795694e-02     8.4764051e-01    -1.6912144e-03     6.6440326e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1824672e-01   0            16777216
     1.0750497e-02    -9.9844509e-04     2.3005120e-02     8.5679942e-01    -1.8033463e-03     6.5254921e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1981291e-01   0            16777216
     1.1026391e-02    -9.9904882e-04     2.3210719e-02     8.6582178e-01    -1.9184406e-03     6.4052945e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.2137908e-01   0            16777216
     1.1305136e-02    -9.9968992e-04     2.3412440e-02     8.7470388e-01    -2.0365042e-03     6.2834543e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.2294527e-01   0            16777216
     1.1586682e-02    -1.0003694e-03     2.3610229e-02     8.8344216e-01    -2.1575450e-03     6.1599863e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.2451145e-01   0            16777216
     1.1870986e-02    -1.0010884e-03     2.3804035e-02     8.9203292e-01    -2.2815729e-03     6.0349077e-01     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.2607764e-01   0            16777216
