       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -400           -150           -100    -0.00504615     0.00649542    -0.00443561              0              0              0
         -396           -150           -100    -0.00519434      0.0065721    -0.00450261              0              0              0
         -392           -150           -100    -0.00534301     0.00665014    -0.00457134              0              0              0
         -388           -150           -100    -0.00549168     0.00672817    -0.00464007              0              0              0
         -384           -150           -100    -0.00564034     0.00680621     -0.0047088              0              0              0
         -380           -150           -100     -0.0057901     0.00688899    -0.00478422              0              0              0
         -376           -150           -100     -0.0059404     0.00697411    -0.00486293              0              0              0
         -372           -150           -100     -0.0060907     0.00705923    -0.00494164              0              0              0
         -368           -150           -100      -0.006241     0.00714434    -0.00502035              0              0              0
         -364           -150           -100    -0.00639149     0.00723276    -0.00510421              0              0              0
         -360           -150           -100    -0.00654218     0.00732458    -0.00519339              0              0              0
         -356           -150           -100    -0.00669286     0.00741641    -0.00528258              0              0              0
         -352           -150           -100    -0.00684355     0.00750824    -0.00537177              0              0              0
         -348           -150           -100    -0.00699394     0.00760163    -0.00546367              0              0              0
         -344           -150           -100    -0.00714366     0.00769849    -0.00556153              0              0              0
         -340           -150           -100    -0.00729339     0.00779534     -0.0056594              0              0              0
         -336           -150           -100    -0.00744156     0.00789591    -0.00576473              0              0              0
         -332           -150           -100     -0.0075894     0.00799726    -0.00587165              0              0              0
         -328           -150           -100    -0.00773725     0.00809862    -0.00597857              0              0              0
         -324           -150           -100    -0.00788509     0.00819998    -0.00608549              0              0              0
         -320           -150           -100     -0.0080299      0.0083046    -0.00620005              0              0              0
         -316           -150           -100     -0.0081731     0.00841096    -0.00631867              0              0              0
         -312           -150           -100     -0.0083163     0.00851731    -0.00643728              0              0              0
         -308           -150           -100     -0.0084595     0.00862367    -0.00655589              0              0              0
         -304           -150           -100     -0.0085991     0.00873198    -0.00668032              0              0              0
         -300           -150           -100    -0.00873484     0.00884238    -0.00681097              0              0              0
         -296           -150           -100    -0.00887057     0.00895279    -0.00694163              0              0              0
         -292           -150           -100    -0.00900631      0.0090632    -0.00707228              0              0              0
         -288           -150           -100    -0.00914006     0.00917424    -0.00720517              0              0              0
         -284           -150           -100    -0.00926811     0.00928697    -0.00734439              0              0              0
         -280           -150           -100     -0.0093934     0.00940029    -0.00748641              0              0              0
         -276           -150           -100     -0.0095156     0.00951416    -0.00763134              0              0              0
         -272           -150           -100     -0.0096345     0.00962849    -0.00777918              0              0              0
         -268           -150           -100    -0.00974984     0.00974323    -0.00792991              0              0              0
         -264           -150           -100    -0.00986116      0.0098583    -0.00808368              0              0              0
         -260           -150           -100    -0.00996834     0.00997362    -0.00824036              0              0              0
         -256           -150           -100     -0.0100711      0.0100891    -0.00839989              0              0              0
         -252           -150           -100     -0.0101695      0.0102047    -0.00856212              0              0              0
         -248           -150           -100     -0.0102629      0.0103202    -0.00872713              0              0              0
         -244           -150           -100     -0.0103512      0.0104357    -0.00889485              0              0              0
         -240           -150           -100      -0.010434       0.010551    -0.00906524              0              0              0
         -236           -150           -100     -0.0105111      0.0106661    -0.00923824              0              0              0
         -232           -150           -100     -0.0105821      0.0107809    -0.00941376              0              0              0
         -228           -150           -100     -0.0106468      0.0108953    -0.00959173              0              0              0
         -224           -150           -100     -0.0107048      0.0110091    -0.00977206              0              0              0
         -220           -150           -100     -0.0107559      0.0111224    -0.00995465              0              0              0
         -216           -150           -100     -0.0107998      0.0112351     -0.0101394              0              0              0
         -212           -150           -100     -0.0108361       0.011347     -0.0103262              0              0              0
         -208           -150           -100     -0.0108646      0.0114581     -0.0105148              0              0              0
         -204           -150           -100     -0.0108849      0.0115683     -0.0107053              0              0              0
