%  ASCII export :
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     1.3561000e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28    -7.8292179e-04   0            16777216
     0.0000000e+00    -1.0000000e-03     0.0000000e+00     0.0000000e+00     0.0000000e+00     1.3561000e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     0.0000000e+00   0            16777216
     3.9742135e-06    -1.0000003e-03     5.6675379e-04     1.9022802e-02    -1.2373170e-06     1.3559666e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.3490002e-03   0            16777216
     1.3263586e-05    -1.0000013e-03     9.4450748e-04     3.8114928e-02    -5.0613799e-06     1.3555642e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.9150785e-03   0            16777216
     2.7886626e-05    -1.0000041e-03     1.3220923e-03     5.7272509e-02    -1.1516020e-05     1.3548901e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     5.4811570e-03   0            16777216
     4.7860747e-05    -1.0000091e-03     1.6994319e-03     7.6491572e-02    -2.0644722e-05     1.3539410e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     7.0472350e-03   0            16777216
     7.3202231e-05    -1.0000173e-03     2.0764491e-03     9.5768042e-02    -3.2490585e-05     1.3527142e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     8.6133135e-03   0            16777216
     1.0392620e-04    -1.0000294e-03     2.4530657e-03     1.1509775e-01    -4.7096291e-05     1.3512068e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.0179392e-02   0            16777216
     1.4004660e-04    -1.0000460e-03     2.8292029e-03     1.3447644e-01    -6.4504078e-05     1.3494159e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.1745471e-02   0            16777216
     1.8157616e-04    -1.0000683e-03     3.2047818e-03     1.5389970e-01    -8.4755680e-05     1.3473389e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.3311549e-02   0            16777216
     2.2852639e-04    -1.0000966e-03     3.5797213e-03     1.7336309e-01    -1.0789232e-04     1.3449730e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.4877627e-02   0            16777216
     2.8090749e-04    -1.0001322e-03     3.9539407e-03     1.9286202e-01    -1.3395464e-04     1.3423157e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.6443705e-02   0            16777216
     3.3872842e-04    -1.0001754e-03     4.3273587e-03     2.1239181e-01    -1.6298272e-04     1.3393644e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.8009784e-02   0            16777216
     4.0199675e-04    -1.0002275e-03     4.6998919e-03     2.3194772e-01    -1.9501598e-04     1.3361166e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     1.9575862e-02   0            16777216
     4.7071875e-04    -1.0002891e-03     5.0714579e-03     2.5152487e-01    -2.3009318e-04     1.3325698e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.1141941e-02   0            16777216
     5.4489932e-04    -1.0003612e-03     5.4419725e-03     2.7111825e-01    -2.6825236e-04     1.3287220e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.2708019e-02   0            16777216
     6.2454189e-04    -1.0004444e-03     5.8113523e-03     2.9072288e-01    -3.0953082e-04     1.3245707e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.4274098e-02   0            16777216
     7.0964859e-04    -1.0005400e-03     6.1795106e-03     3.1033355e-01    -3.5396512e-04     1.3201137e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.5840176e-02   0            16777216
     8.0022024e-04    -1.0006485e-03     6.5463632e-03     3.2994720e-01    -4.0159104e-04     1.3153486e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.7406255e-02   0            16777216
     8.9625880e-04    -1.0007709e-03     6.9118221e-03     3.4956899e-01    -4.5244466e-04     1.3102704e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     2.8972331e-02   0            16777216
     9.9776580e-04    -1.0009083e-03     7.2758007e-03     3.6919463e-01    -5.0656206e-04     1.3048763e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.0538410e-02   0            16777216
     1.1047411e-03    -1.0010614e-03     7.6382090e-03     3.8881832e-01    -5.6397833e-04     1.2991641e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.2104488e-02   0            16777216
     1.2171830e-03    -1.0012311e-03     7.9989592e-03     4.0843418e-01    -6.2472769e-04     1.2931312e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.3670567e-02   0            16777216
     1.3350877e-03    -1.0014186e-03     8.3579607e-03     4.2803627e-01    -6.8884331e-04     1.2867757e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.5236645e-02   0            16777216
     1.4584506e-03    -1.0016245e-03     8.7151248e-03     4.4761845e-01    -7.5635739e-04     1.2800955e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.6802724e-02   0            16777216
     1.5872646e-03    -1.0018500e-03     9.0703573e-03     4.6717453e-01    -8.2730083e-04     1.2730886e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.8368803e-02   0            16777216
     1.7215211e-03    -1.0020961e-03     9.4235698e-03     4.8669818e-01    -9.0170361e-04     1.2657533e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     3.9934881e-02   0            16777216
     1.8612097e-03    -1.0023636e-03     9.7746691e-03     5.0618309e-01    -9.7959442e-04     1.2580879e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.1500960e-02   0            16777216
     2.0063184e-03    -1.0026535e-03     1.0123563e-02     5.2562267e-01    -1.0610009e-03     1.2500907e+00     9.1093797e-31    -7.8292177e-28    -7.8292177e-28     4.3067038e-02   0            16777216
