%  ASCII export : 
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     0.0000000e+00     0.0000000e+00     0.0000000e+00    -1.4004000e+00    -0.0000000e+00     4.0102100e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27    -1.1172404e-03   0            16777216  
     0.0000000e+00     0.0000000e+00     0.0000000e+00    -1.4004000e+00    -0.0000000e+00     4.0102100e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     0.0000000e+00   0            16777216  
    -2.7585271e-04     9.3851888e-12     9.0363389e-03    -1.0437309e+00     8.4876675e-08     4.0112968e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.0165492e-02   0            16777216  
    -4.4798822e-04     3.5444085e-11     1.7070541e-02    -6.8502581e-01     1.7356466e-07     4.0120697e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.6979261e-02   0            16777216  
    -5.3994090e-04     7.5955714e-11     2.4436340e-02    -3.2855472e-01     2.6536839e-07     4.0125198e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     8.1558555e-02   0            16777216  
    -5.6419725e-04     1.3131859e-10     3.1467836e-02     3.9344121e-02     3.6374811e-07     4.0126526e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     1.0502061e-01   0            16777216  
    -5.2828458e-04     1.9714964e-10     3.7829604e-02     3.9898267e-01     4.6316123e-07     4.0124561e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     1.2624817e-01   0            16777216  
    -4.3976193e-04     2.7483532e-10     4.3855987e-02     7.6363015e-01     5.6712440e-07     4.0119278e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     1.4635850e-01   0            16777216  
    -3.0393811e-04     3.6325581e-10     4.9546566e-02     1.1339041e+00     6.7473854e-07     4.0110519e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     1.6535158e-01   0            16777216  
    -1.2638472e-04     4.6105780e-10     5.4900981e-02     1.5064088e+00     7.8490297e-07     4.0098259e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     1.8322743e-01   0            16777216  
     8.6685432e-05     5.6665761e-10     5.9918985e-02     1.8771099e+00     8.9628668e-07     4.0082615e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     1.9998604e-01   0            16777216  
     3.2882590e-04     6.7821854e-10     6.4600423e-02     2.2457931e+00     1.0067656e-06     4.0063648e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     2.1562740e-01   0            16777216  
     5.9346779e-04     7.9370616e-10     6.8945222e-02     2.6087198e+00     1.1150433e-06     4.0041656e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     2.3015153e-01   0            16777216  
     8.7367161e-04     9.1100938e-10     7.2953463e-02     2.9612522e+00     1.2199382e-06     4.0017128e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     2.4355842e-01   0            16777216  
     1.1901039e-03     1.0390702e-09     7.6959014e-02     3.3313444e+00     1.3292495e-06     3.9988018e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     2.5696531e-01   0            16777216  
     1.5136676e-03     1.1661833e-09     8.0627955e-02     3.6892455e+00     1.4314064e-06     3.9956589e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     2.6925495e-01   0            16777216  
     1.8709932e-03     1.3027608e-09     8.4293768e-02     4.0653152e+00     1.5353261e-06     3.9920078e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     2.8154460e-01   0            16777216  
     2.2265315e-03     1.4352708e-09     8.7623186e-02     4.4228783e+00     1.6312954e-06     3.9882046e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     2.9271701e-01   0            16777216  
     2.6125887e-03     1.5758571e-09     9.0949208e-02     4.7952867e+00     1.7287680e-06     3.9838985e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.0388939e-01   0            16777216  
     2.9871927e-03     1.7093357e-09     9.3939349e-02     5.1445017e+00     1.8155507e-06     3.9795399e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.1394458e-01   0            16777216  
     3.3886658e-03     1.8491527e-09     9.6926004e-02     5.5091224e+00     1.8980512e-06     3.9746559e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.2399973e-01   0            16777216  
     3.8181616e-03     1.9949935e-09     9.9908754e-02     5.8890605e+00     1.9764657e-06     3.9692047e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.3405489e-01   0            16777216  
     4.2243875e-03     2.1294466e-09     1.0255646e-01     6.2395453e+00     2.0429363e-06     3.9638462e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.4299281e-01   0            16777216  
     4.6544583e-03     2.2682309e-09     1.0520039e-01     6.6019468e+00     2.1066176e-06     3.9579716e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.5193074e-01   0            16777216  
     5.1091998e-03     2.4110289e-09     1.0784020e-01     6.9773755e+00     2.1627209e-06     3.9515259e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.6086866e-01   0            16777216  
     5.5895234e-03     2.5571654e-09     1.1047545e-01     7.3666339e+00     2.2081699e-06     3.9444546e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.6980659e-01   0            16777216  
     6.0315141e-03     2.6872500e-09     1.1277725e-01     7.7184711e+00     2.2402414e-06     3.9377213e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.7762728e-01   0            16777216  
     6.4944080e-03     2.8189655e-09     1.1507493e-01     8.0809488e+00     2.2644722e-06     3.9304424e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.8544795e-01   0            16777216  
     6.9788452e-03     2.9517360e-09     1.1736817e-01     8.4545364e+00     2.2779691e-06     3.9225761e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     3.9326864e-01   0            16777216  
     7.4854735e-03     3.0849656e-09     1.1965661e-01     8.8391809e+00     2.2814140e-06     3.9140881e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.0108931e-01   0            16777216  
     8.0149528e-03     3.2179099e-09     1.2193985e-01     9.2353811e+00     2.2696347e-06     3.9049294e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.0891001e-01   0            16777216  
     8.4874937e-03     3.3309591e-09     1.2389251e-01     9.5842047e+00     2.2484010e-06     3.8965145e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.1561344e-01   0            16777216  
     8.9777494e-03     3.4426788e-09     1.2584078e-01     9.9416037e+00     2.2173031e-06     3.8875496e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.2231688e-01   0            16777216  
     9.4861574e-03     3.5524317e-09     1.2778440e-01     1.0307899e+01     2.1724381e-06     3.8779980e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.2902032e-01   0            16777216  
     1.0013164e-02     3.6596501e-09     1.2972306e-01     1.0682994e+01     2.1183987e-06     3.8678329e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.3572378e-01   0            16777216  
     1.0559211e-02     3.7638586e-09     1.3165644e-01     1.1067062e+01     2.0531559e-06     3.8570190e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.4242722e-01   0            16777216  
     1.1124750e-02     3.8645176e-09     1.3358420e-01     1.1460154e+01     1.9795418e-06     3.8455227e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.4913065e-01   0            16777216  
     1.1710232e-02     3.9613850e-09     1.3550600e-01     1.1862260e+01     1.9014883e-06     3.8333096e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.5583409e-01   0            16777216  
     1.2213699e-02     4.0389678e-09     1.3710268e-01     1.2204378e+01     1.8314366e-06     3.8225552e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.6142030e-01   0            16777216  
     1.2731599e-02     4.1137045e-09     1.3869473e-01     1.2552802e+01     1.7654633e-06     3.8112553e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.6700650e-01   0            16777216  
     1.3264193e-02     4.1858286e-09     1.4028195e-01     1.2907593e+01     1.7046324e-06     3.7993862e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.7259271e-01   0            16777216  
     1.3811752e-02     4.2555941e-09     1.4186403e-01     1.3268799e+01     1.6526583e-06     3.7869228e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.7817892e-01   0            16777216  
     1.4374539e-02     4.3237369e-09     1.4344078e-01     1.3636320e+01     1.6241596e-06     3.7738445e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.8376513e-01   0            16777216  
     1.4952820e-02     4.3914135e-09     1.4501192e-01     1.4010216e+01     1.6248553e-06     3.7601242e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.8935130e-01   0            16777216  
     1.5546859e-02     4.4600528e-09     1.4657715e-01     1.4390488e+01     1.6657555e-06     3.7457355e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     4.9493751e-01   0            16777216  
     1.6156925e-02     4.5319064e-09     1.4813623e-01     1.4777028e+01     1.7690656e-06     3.7306553e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.0052375e-01   0            16777216  
     1.6783273e-02     4.6099329e-09     1.4968883e-01     1.5169869e+01     1.9487159e-06     3.7148548e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.0610989e-01   0            16777216  
     1.7426167e-02     4.6976725e-09     1.5123463e-01     1.5568962e+01     2.2199674e-06     3.6983063e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.1169610e-01   0            16777216  
     1.7952571e-02     4.7778337e-09     1.5246619e-01     1.5892645e+01     2.5204984e-06     3.6845127e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.1616508e-01   0            16777216  
     1.8489860e-02     4.8698117e-09     1.5369304e-01     1.6220221e+01     2.9089479e-06     3.6702099e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.2063406e-01   0            16777216  
     1.9038163e-02     4.9768816e-09     1.5491500e-01     1.6551674e+01     3.4006948e-06     3.6553818e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.2510303e-01   0            16777216  
     1.9597609e-02     5.1028404e-09     1.5613191e-01     1.6886936e+01     4.0139839e-06     3.6400150e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.2957195e-01   0            16777216  
     2.0168325e-02     5.2518825e-09     1.5734357e-01     1.7225937e+01     4.7510789e-06     3.6240952e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.3404093e-01   0            16777216  
     2.0750431e-02     5.4283458e-09     1.5854980e-01     1.7568613e+01     5.6271315e-06     3.6076077e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.3850991e-01   0            16777216  
     2.1344053e-02     5.6372378e-09     1.5975039e-01     1.7914906e+01     6.6566081e-06     3.5905373e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.4297888e-01   0            16777216  
     2.1949306e-02     5.8838499e-09     1.6094518e-01     1.8264742e+01     7.8483117e-06     3.5728683e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.4744780e-01   0            16777216  
     2.2566307e-02     6.1737162e-09     1.6213393e-01     1.8618036e+01     9.2071714e-06     3.5545860e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.5191678e-01   0            16777216  
     2.3195172e-02     6.5128281e-09     1.6331646e-01     1.8974579e+01     1.0756469e-05     3.5356823e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.5638576e-01   0            16777216  
     2.3836002e-02     6.9078516e-09     1.6449253e-01     1.9334248e+01     1.2506794e-05     3.5161434e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.6085467e-01   0            16777216  
     2.4488898e-02     7.3653545e-09     1.6566196e-01     1.9696947e+01     1.4450323e-05     3.4959545e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.6532365e-01   0            16777216  
     2.5153965e-02     7.8916651e-09     1.6682452e-01     2.0062576e+01     1.6582935e-05     3.4751007e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.6979263e-01   0            16777216  
     2.5831293e-02     8.4929663e-09     1.6797996e-01     2.0430960e+01     1.8894232e-05     3.4535713e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.7426161e-01   0            16777216  
     2.6520971e-02     9.1746237e-09     1.6912808e-01     2.0801971e+01     2.1356482e-05     3.4313519e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.7873052e-01   0            16777216  
     2.7223084e-02     9.9408650e-09     1.7026863e-01     2.1175518e+01     2.3927478e-05     3.4084263e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.8319950e-01   0            16777216  
     2.7937720e-02     1.0794652e-08     1.7140138e-01     2.1551462e+01     2.6580463e-05     3.3847809e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.8766848e-01   0            16777216  
     2.8664947e-02     1.1738758e-08     1.7252609e-01     2.1929537e+01     2.9318389e-05     3.3604092e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.9213746e-01   0            16777216  
     2.9404834e-02     1.2775788e-08     1.7364252e-01     2.2309605e+01     3.2127155e-05     3.3352978e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     5.9660637e-01   0            16777216  
     3.0157449e-02     1.3907186e-08     1.7475039e-01     2.2691547e+01     3.4955428e-05     3.3094307e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     6.0107535e-01   0            16777216  
     3.0922847e-02     1.5132157e-08     1.7584948e-01     2.3075239e+01     3.7739421e-05     3.2827927e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     6.0554433e-01   0            16777216  
     3.1505320e-02     1.6111080e-08     1.7666785e-01     2.3364079e+01     3.9781244e-05     3.2622990e+01     9.1093797e-31    -1.1172404e-27    -1.1172404e-27     6.0889602e-01   0            16777216  
