       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -500           -150           -100     -0.0037653      0.0033268   -0.000897841              0              0              0
         -495           -150           -100    -0.00386152     0.00340671   -0.000924622              0              0              0
         -490           -150           -100    -0.00395926     0.00348843   -0.000952259              0              0              0
         -485           -150           -100    -0.00405853     0.00357198   -0.000980776              0              0              0
         -480           -150           -100    -0.00415933     0.00365736     -0.0010102              0              0              0
         -475           -150           -100    -0.00426165     0.00374459    -0.00104055              0              0              0
         -470           -150           -100    -0.00436549     0.00383367    -0.00107186              0              0              0
         -465           -150           -100    -0.00447086     0.00392461    -0.00110416              0              0              0
         -460           -150           -100    -0.00457775     0.00401745    -0.00113749              0              0              0
         -455           -150           -100    -0.00468625      0.0041123    -0.00117194              0              0              0
         -450           -150           -100    -0.00479622     0.00420902    -0.00120746              0              0              0
         -445           -150           -100    -0.00490764      0.0043076    -0.00124408              0              0              0
         -440           -150           -100     -0.0050205     0.00440805    -0.00128184              0              0              0
         -435           -150           -100    -0.00513476     0.00451037    -0.00132076              0              0              0
         -430           -150           -100    -0.00525041     0.00461454    -0.00136089              0              0              0
         -425           -150           -100    -0.00536739     0.00472058    -0.00140225              0              0              0
         -420           -150           -100    -0.00548569     0.00482846    -0.00144489              0              0              0
         -415           -150           -100    -0.00560525     0.00493818    -0.00148884              0              0              0
         -410           -150           -100    -0.00572604     0.00504972    -0.00153413              0              0              0
         -405           -150           -100    -0.00584809     0.00516324    -0.00158094              0              0              0
         -400           -150           -100    -0.00597126      0.0052786    -0.00162922              0              0              0
         -395           -150           -100    -0.00609546     0.00539572    -0.00167899              0              0              0
         -390           -150           -100    -0.00622061     0.00551459    -0.00173027              0              0              0
         -385           -150           -100    -0.00634664     0.00563517    -0.00178312              0              0              0
         -380           -150           -100    -0.00647344     0.00575743    -0.00183758              0              0              0
         -375           -150           -100    -0.00660094     0.00588134    -0.00189369              0              0              0
         -370           -150           -100    -0.00672902     0.00600686     -0.0019515              0              0              0
         -365           -150           -100    -0.00685757     0.00613395    -0.00201105              0              0              0
         -360           -150           -100    -0.00698647     0.00626257     -0.0020724              0              0              0
         -355           -150           -100     -0.0071156     0.00639273    -0.00213569              0              0              0
         -350           -150           -100    -0.00724479     0.00652441      -0.002201              0              0              0
         -345           -150           -100    -0.00737386     0.00665737    -0.00226818              0              0              0
         -340           -150           -100    -0.00750267     0.00679166    -0.00233739              0              0              0
         -335           -150           -100    -0.00763099     0.00692725    -0.00240878              0              0              0
         -330           -150           -100    -0.00775866     0.00706398    -0.00248225              0              0              0
         -325           -150           -100    -0.00788546     0.00720179    -0.00255788              0              0              0
         -320           -150           -100    -0.00801119     0.00734059     -0.0026357              0              0              0
         -315           -150           -100     -0.0081356      0.0074803    -0.00271576              0              0              0
         -310           -150           -100    -0.00825847     0.00762085    -0.00279811              0              0              0
         -305           -150           -100    -0.00837952     0.00776213    -0.00288279              0              0              0
         -300           -150           -100     -0.0084985     0.00790406    -0.00296985              0              0              0
         -295           -150           -100    -0.00861499     0.00804656    -0.00305942              0              0              0
         -290           -150           -100    -0.00872852     0.00818951    -0.00315166              0              0              0
         -285           -150           -100    -0.00883893     0.00833277    -0.00324638              0              0              0
         -280           -150           -100     -0.0089462     0.00847621    -0.00334346              0              0              0
         -275           -150           -100    -0.00904974     0.00861976    -0.00344308              0              0              0
         -270           -150           -100    -0.00914895     0.00876328     -0.0035454              0              0              0
         -265           -150           -100    -0.00924331     0.00890663    -0.00365045              0              0              0
         -260           -150           -100    -0.00933302     0.00904972    -0.00375789              0              0              0
         -255           -150           -100    -0.00941677     0.00919235    -0.00386817              0              0              0
         -250           -150           -100    -0.00949499     0.00933446    -0.00398089              0              0              0
         -245           -150           -100    -0.00956695      0.0094759    -0.00409613              0              0              0
         -240           -150           -100    -0.00963196     0.00961651    -0.00421395              0              0              0
         -235           -150           -100     -0.0096898     0.00975619    -0.00433421              0              0              0
         -230           -150           -100    -0.00973988     0.00989478    -0.00445688              0              0              0
         -225           -150           -100     -0.0097817      0.0100322    -0.00458188              0              0              0
         -220           -150           -100    -0.00981477      0.0101682    -0.00470914              0              0              0
         -215           -150           -100     -0.0098386      0.0103028    -0.00483853              0              0              0
         -210           -150           -100    -0.00985268      0.0104358    -0.00496995              0              0              0
         -205           -150           -100    -0.00985654       0.010567    -0.00510323              0              0              0
         -200           -150           -100    -0.00985031      0.0106965    -0.00523815              0              0              0
         -195           -150           -100    -0.00983118      0.0108238    -0.00537484              0              0              0
         -190           -150           -100    -0.00980149      0.0109491    -0.00551273              0              0              0
         -185           -150           -100    -0.00975976      0.0110723    -0.00565174              0              0              0
         -180           -150           -100    -0.00970633      0.0111933    -0.00579161              0              0              0
         -175           -150           -100     -0.0096401      0.0113119    -0.00593217              0              0              0
         -170           -150           -100    -0.00955946      0.0114279    -0.00607313              0              0              0
         -165           -150           -100    -0.00946551      0.0115413    -0.00621415              0              0              0
         -160           -150           -100    -0.00935807       0.011652    -0.00635496              0              0              0
         -155           -150           -100    -0.00923687      0.0117601    -0.00649524              0              0              0
         -150           -150           -100    -0.00910203      0.0118655    -0.00663468              0              0              0
         -145           -150           -100    -0.00895278       0.011968    -0.00677292              0              0              0
         -140           -150           -100    -0.00878945      0.0120676    -0.00690962              0              0              0
         -135           -150           -100    -0.00861183      0.0121643     -0.0070444              0              0              0
         -130           -150           -100    -0.00842096       0.012258    -0.00717708              0              0              0
         -125           -150           -100    -0.00821641      0.0123488    -0.00730725              0              0              0
         -120           -150           -100    -0.00799841      0.0124365    -0.00743458              0              0              0
         -115           -150           -100    -0.00776647       0.012521    -0.00755854              0              0              0
         -110           -150           -100    -0.00752054       0.012602     -0.0076786              0              0              0
         -105           -150           -100    -0.00726374      0.0126802     -0.0077953              0              0              0
         -100           -150           -100    -0.00699502      0.0127552    -0.00790796              0              0              0
          -95           -150           -100    -0.00671487       0.012827    -0.00801632              0              0              0
          -90           -150           -100    -0.00642319      0.0128954    -0.00811985              0              0              0
          -85           -150           -100    -0.00612132      0.0129605    -0.00821863              0              0              0
          -80           -150           -100    -0.00580965      0.0130222    -0.00831238              0              0              0
          -75           -150           -100    -0.00548883      0.0130805    -0.00840095              0              0              0
          -70           -150           -100    -0.00515915      0.0131351    -0.00848394              0              0              0
          -65           -150           -100    -0.00482171      0.0131863    -0.00856152              0              0              0
          -60           -150           -100    -0.00447714      0.0132339     -0.0086336              0              0              0
          -55           -150           -100    -0.00412607       0.013278    -0.00870009              0              0              0
          -50           -150           -100    -0.00376919      0.0133185    -0.00876102              0              0              0
          -45           -150           -100    -0.00340706      0.0133554    -0.00881632              0              0              0
          -40           -150           -100    -0.00304029      0.0133887    -0.00886601              0              0              0
          -35           -150           -100    -0.00266901      0.0134179    -0.00890949              0              0              0
          -30           -150           -100    -0.00229416      0.0134433    -0.00894717              0              0              0
          -25           -150           -100    -0.00191643       0.013465    -0.00897926              0              0              0
          -20           -150           -100    -0.00153596      0.0134825    -0.00900506              0              0              0
          -15           -150           -100     -0.0011536      0.0134962    -0.00902512              0              0              0
          -10           -150           -100   -0.000769826      0.0135059    -0.00903944              0              0              0
           -5           -150           -100    -0.00038524      0.0135124    -0.00904891              0              0              0
            0           -150           -100   -8.14907e-09      0.0135144    -0.00905181              0              0              0
            5           -150           -100    0.000385224      0.0135124    -0.00904891              0              0              0
           10           -150           -100     0.00076981      0.0135059    -0.00903945              0              0              0
           15           -150           -100     0.00115358      0.0134962    -0.00902512              0              0              0
           20           -150           -100     0.00153594      0.0134825    -0.00900506              0              0              0
           25           -150           -100     0.00191641       0.013465    -0.00897926              0              0              0
           30           -150           -100     0.00229415      0.0134433    -0.00894717              0              0              0
           35           -150           -100     0.00266899      0.0134179    -0.00890949              0              0              0
           40           -150           -100     0.00304028      0.0133887    -0.00886601              0              0              0
           45           -150           -100     0.00340704      0.0133554    -0.00881632              0              0              0
           50           -150           -100     0.00376918      0.0133185    -0.00876103              0              0              0
           55           -150           -100     0.00412606       0.013278    -0.00870009              0              0              0
           60           -150           -100     0.00447713      0.0132339     -0.0086336              0              0              0
           65           -150           -100     0.00482169      0.0131863    -0.00856153              0              0              0
           70           -150           -100     0.00515913      0.0131351    -0.00848395              0              0              0
           75           -150           -100     0.00548882      0.0130805    -0.00840095              0              0              0
           80           -150           -100     0.00580964      0.0130222    -0.00831238              0              0              0
           85           -150           -100     0.00612131      0.0129605    -0.00821863              0              0              0
